dataset,method,oa,aa,kappa,delta_oa,delta_aa,delta_kappa
AID-low20-DINOv2Small,ConvNeXt-Tiny,0.9179 ± 0.0086,0.9158 ± 0.0076,0.9150 ± 0.0089,,,
AID-low20-DINOv2Small,DINOv2-S+Adapter+FT2,0.9262 ± 0.0020,0.9236 ± 0.0008,0.9236 ± 0.0020,+0.0082,+0.0078,+0.0085
