run,seed,oa,aa,kappa,best_epoch
seed_3407,3407,0.9326373626373626,0.9299242998520418,0.9302308013070578,6
seed_3408,3408,0.9438461538461539,0.9416051553185307,0.9418376820926078,21
seed_3409,3409,0.9484615384615385,0.9458533867156577,0.9466181599318878,21
