epoch,train_loss,train_oa,val_loss,val_oa,val_aa,val_kappa,lr
1,2.0356833159923555,0.45166666666666666,0.9219376582064127,0.7566666666666667,0.7566666666666666,0.7482758620689656,9.99314767377287e-05
2,0.6110731101036072,0.83,0.6475329724336533,0.8066666666666666,0.8066666666666666,0.7999999999999999,9.972609476841367e-05
3,0.3551768568654855,0.8866666666666667,0.6768869338924751,0.7833333333333333,0.7833333333333332,0.7758620689655172,9.93844170297569e-05
4,0.2849881215021014,0.925,0.6989570887097599,0.8133333333333334,0.8133333333333334,0.806896551724138,9.89073800366903e-05
5,0.12116787559042375,0.965,0.649336243636514,0.8533333333333334,0.8533333333333334,0.8482758620689655,9.829629131445343e-05
6,0.12758475746338566,0.9633333333333334,0.6332742162171359,0.8333333333333334,0.8333333333333333,0.8275862068965517,9.75528258147577e-05
7,0.06872162488599619,0.9816666666666667,0.6223796424210856,0.8866666666666667,0.8866666666666667,0.8827586206896553,9.66790213248601e-05
8,0.06405568566483756,0.98,0.6550330049879114,0.8533333333333334,0.8533333333333333,0.8482758620689655,9.567727288213006e-05
9,0.02005231307198604,0.9933333333333333,0.622677770447856,0.8766666666666667,0.8766666666666666,0.8724137931034484,9.455032620941841e-05
10,0.03293992151506245,0.9933333333333333,0.719919612105801,0.8466666666666667,0.8466666666666665,0.8413793103448276,9.330127018922197e-05
11,0.027281339031954607,0.9933333333333333,0.6308100543790619,0.8666666666666667,0.8666666666666666,0.8620689655172414,9.193352839727123e-05
12,0.024166481926416357,0.9916666666666667,0.7363373324517039,0.8633333333333333,0.8633333333333335,0.8586206896551724,9.04508497187474e-05
13,0.016664055343717336,0.9933333333333333,0.674504417131079,0.8833333333333333,0.8833333333333333,0.8793103448275862,8.885729807284857e-05
14,0.007764038754006227,0.9983333333333333,0.6673369870404713,0.89,0.89,0.8862068965517241,8.715724127386973e-05
15,0.02300973384641111,0.9933333333333333,0.732331111520149,0.8666666666666667,0.8666666666666667,0.8620689655172414,8.53553390593274e-05
16,0.01858377429501464,0.995,0.5872610190034673,0.8933333333333333,0.8933333333333332,0.8896551724137931,8.345653031794293e-05
17,0.00909509279920409,0.9983333333333333,0.717977976915886,0.88,0.88,0.8758620689655172,8.146601955249189e-05
18,0.05866418109275401,0.9866666666666667,0.6025719385866787,0.9066666666666666,0.9066666666666666,0.9034482758620689,7.938926261462367e-05
19,0.003928140838009616,1.0,0.6652713216325011,0.88,0.8800000000000001,0.8758620689655172,7.723195175075138e-05
20,0.020612194719724357,0.995,0.7890225051849388,0.87,0.8699999999999999,0.8655172413793103,7.500000000000002e-05
21,0.0029328121477738022,1.0,0.6953102444803287,0.88,0.88,0.8758620689655172,7.269952498697736e-05
22,0.002697455356828868,1.0,0.672806767600521,0.88,0.88,0.8758620689655172,7.033683215379003e-05
23,0.00912880159293612,0.9983333333333333,0.6464858130290706,0.8933333333333333,0.8933333333333333,0.8896551724137931,6.791839747726505e-05
24,0.002622354100458324,1.0,0.6910382585004922,0.8866666666666667,0.8866666666666667,0.8827586206896553,6.54508497187474e-05
25,0.009471669093084832,0.9966666666666667,0.6325050967199403,0.89,0.89,0.8862068965517241,6.294095225512606e-05
26,0.00211401365386943,1.0,0.6517830733110282,0.9066666666666666,0.9066666666666666,0.9034482758620689,6.0395584540887984e-05
27,0.0017936307300503056,1.0,0.6293304856199508,0.9133333333333333,0.9133333333333333,0.9103448275862069,5.782172325201157e-05
28,0.001665826253592968,1.0,0.6357893313079809,0.9133333333333333,0.9133333333333333,0.9103448275862069,5.52264231633827e-05
29,0.0019098728615790607,1.0,0.6827905004488697,0.9,0.9,0.896551724137931,5.261679781214721e-05
30,0.0022514933347702027,1.0,0.7260779175761088,0.8833333333333333,0.8833333333333333,0.8793103448275862,5.0000000000000036e-05
31,0.0017567361611872912,1.0,0.6922231545433629,0.8933333333333333,0.8933333333333333,0.8896551724137931,4.738320218785284e-05
32,0.0016435138368979096,1.0,0.6859229929013007,0.8966666666666666,0.8966666666666667,0.893103448275862,4.477357683661736e-05
33,0.0016163539420813323,1.0,0.695566142028072,0.9033333333333333,0.9033333333333334,0.9,4.217827674798848e-05
34,0.0016012773911158243,1.0,0.6894324066446356,0.9033333333333333,0.9033333333333334,0.9,3.9604415459112055e-05
35,0.0015621611196547746,1.0,0.6744622731199151,0.9066666666666666,0.9066666666666667,0.9034482758620689,3.705904774487399e-05
36,0.0015533712583904464,1.0,0.6786374536602938,0.9033333333333333,0.9033333333333334,0.9,3.4549150281252656e-05
37,0.0015060870784024398,1.0,0.6816016771931332,0.9,0.9,0.896551724137931,3.2081602522735006e-05
38,0.0014996624380970995,1.0,0.6809524960979041,0.9033333333333333,0.9033333333333334,0.9,2.9663167846210008e-05
39,0.0015303121724476417,1.0,0.6812395460326929,0.9066666666666666,0.9066666666666666,0.9034482758620689,2.7300475013022676e-05
