epoch,train_loss,train_oa,val_loss,val_oa,val_aa,val_kappa,lr
1,2.474183096355862,0.3811111111111111,1.2629633889647953,0.6911111111111111,0.6911111111111111,0.6840909090909091,9.99314767377287e-05
2,0.8321784297625224,0.7833333333333333,0.8078675183483905,0.7666666666666667,0.7666666666666667,0.7613636363636364,9.972609476841367e-05
3,0.4842934854494201,0.8755555555555555,0.7452853422023749,0.7977777777777778,0.7977777777777776,0.7931818181818182,9.93844170297569e-05
4,0.31716563867198094,0.9144444444444444,0.6802685864090005,0.8066666666666666,0.8066666666666668,0.8022727272727272,9.89073800366903e-05
5,0.241242250021961,0.9277777777777778,0.6481380251383311,0.82,0.82,0.8159090909090908,9.829629131445343e-05
6,0.13943479058643182,0.9644444444444444,0.6813338025750821,0.8244444444444444,0.8244444444444444,0.8204545454545454,9.75528258147577e-05
7,0.10313095690061648,0.9666666666666667,0.7001280122836888,0.8355555555555556,0.8355555555555556,0.8318181818181819,9.66790213248601e-05
8,0.11335862932105858,0.9677777777777777,0.558249996427708,0.86,0.8599999999999999,0.8568181818181818,9.567727288213006e-05
9,0.09377044914911191,0.9722222222222222,0.7234733835794032,0.8288888888888889,0.828888888888889,0.825,9.455032620941841e-05
10,0.06025728463505705,0.9822222222222222,0.7184575767288998,0.8444444444444444,0.8444444444444444,0.8409090909090909,9.330127018922197e-05
11,0.0877249957434833,0.98,0.7840400781357874,0.84,0.84,0.8363636363636363,9.193352839727123e-05
12,0.05055285588113798,0.9877777777777778,0.7194155124475641,0.8511111111111112,0.851111111111111,0.8477272727272728,9.04508497187474e-05
13,0.03304345916853183,0.99,0.7627921969080426,0.8644444444444445,0.8644444444444442,0.8613636363636363,8.885729807284857e-05
14,0.03589271150529385,0.9922222222222222,0.6409993002159529,0.8577777777777778,0.8577777777777779,0.8545454545454545,8.715724127386973e-05
15,0.029265600880607964,0.9944444444444445,0.6186702543238521,0.8733333333333333,0.8733333333333333,0.8704545454545454,8.53553390593274e-05
16,0.029221604167380268,0.9911111111111112,0.8143918675359282,0.8333333333333334,0.8333333333333334,0.8295454545454546,8.345653031794293e-05
17,0.014382552205481463,0.9955555555555555,0.8611675366430478,0.84,0.84,0.8363636363636363,8.146601955249189e-05
18,0.036233321926039126,0.9911111111111112,0.6931430568041386,0.8622222222222222,0.8622222222222221,0.8590909090909091,7.938926261462367e-05
19,0.01726087619447046,0.9977777777777778,0.7312701450703715,0.8622222222222222,0.8622222222222221,0.8590909090909091,7.723195175075138e-05
20,0.04258065548725426,0.9933333333333333,0.8534904935728073,0.8533333333333334,0.8533333333333333,0.8500000000000001,7.500000000000002e-05
21,0.010022641212369005,0.9977777777777778,0.6771194418361758,0.8733333333333333,0.8733333333333331,0.8704545454545454,7.269952498697736e-05
22,0.03073143192877372,0.9933333333333333,0.752821593435089,0.8622222222222222,0.8622222222222221,0.8590909090909091,7.033683215379003e-05
23,0.03399700415631135,0.9922222222222222,0.9109051425082471,0.8488888888888889,0.8488888888888888,0.8454545454545455,6.791839747726505e-05
24,0.034672426745916404,0.9933333333333333,0.8861136997482135,0.8533333333333334,0.8533333333333332,0.8500000000000001,6.54508497187474e-05
25,0.024477499070473842,0.9944444444444445,0.8434549657517652,0.8577777777777778,0.8577777777777779,0.8545454545454545,6.294095225512606e-05
26,0.014729221714143124,0.9955555555555555,0.8007989438082675,0.8666666666666667,0.8666666666666667,0.8636363636363636,6.0395584540887984e-05
27,0.028062431964402397,0.9955555555555555,0.8640499895917488,0.8577777777777778,0.8577777777777776,0.8545454545454545,5.782172325201157e-05
